id,question,answer,due_date,num,active
0,BYE,asset/bye.mp3,2020-10-27 20:51:44.417896,0,True
1,Execuse me,asset/execuse_me.mp3,2020-10-27 20:51:44.418211,0,True
2,Friday,asset/friday.mp3,2020-10-27 21:00:59.473380,0,True
3,Good Bye,asset/good_bye.mp3,2020-10-27 21:00:59.473393,0,True
4,Hello,asset/hello.mp3,2020-10-29 12:13:16.119995,0,True
5,Hi,asset/hi.mp3,2020-10-29 12:13:16.120009,0,True
6,How are you,asset/how_r_u.mp3,2020-10-29 12:14:47.780098,0,True
7,Monday,asset/monday.mp3,2020-10-29 12:14:47.780117,0,True
8,Saturday,asset/saturday.mp3,2020-10-27 20:41:38.195780,0,False
9,See you soon,asset/see_u_soon.mp3,2020-10-27 20:41:38.195780,0,False
10,Sunday,asset/sunday.mp3,2020-10-27 20:41:38.195780,0,False
11,Thank you very much,asset/thank_u_very_much.mp3,2020-10-27 20:41:38.195780,0,False
12,Thursday,asset/thursday.mp3,2020-10-27 20:41:38.195780,0,False
13,Tuesday,asset/tuesday.mp3,2020-10-27 20:41:38.195780,0,False
14,Wednesday,asset/wednesday.mp3,2020-10-27 20:41:38.195780,0,False
15,What time is it?,asset/what_time_is_it.mp3,2020-10-27 20:41:38.195780,0,False
